name,IT_pagerank,EN_pagerank
Dante Alighieri,0.00126927566604077,0.000983428529357057
Leonardo da Vinci,0.000924341989849066,0.00108008765522278
Benito Mussolini,0.00088429007753151,0.000540292184075964
Umberto II of Italy,0.00120940792289338,0.00232019625617963
Rita Levi-Montalcini,0.000927772303304785,0.00107198281419808
Silvio Berlusconi,0.000855432525690185,0.000718984524610509
Mario Draghi,0.00223215233162268,0.00276356074615755
Romolo,0.0021328712835123,0.00315604470437431
Giulio Cesare,0.000998152696454384,0.00239319335898187
